回答者ID,所属部門,地域,回答者氏名・役職,管掌範囲,主要な管理対象,昨年度IT予算執行額,新しいツールやシステムを導入する時、実際にどのように決めていますか？,判断する時に重視することは何ですか？,中央ITや他部門に相談しますか？,新しいツール・システムの導入で困ることは？,システムの設計・検討段階で、セキュリティをどのように考慮していますか？,ID・アクセス管理 - 認証方法,ID・アクセス管理 - 権限管理,ID・アクセス管理 - 管理方法,データの保護設計はどうなっていますか？,リリース前の検証・評価はどうしていますか？,セキュリティ設計・実装で困ることは？,他部門からデータ提供を依頼された時、どう対応していますか？,データの機密度分類（重要度のランク付け）をしていますか？,データの品質管理はどうしていますか？,重要なデータのバックアップは？,データ管理で困ることは？,本番システムに変更を加える時、どうしていますか？,変更が失敗した時の対応は？,システムトラブルが起きた時、どう対応していますか？,トラブルの重大度は定義されていますか？,トラブル後の振り返りはしていますか？,システム変更・トラブル対応で困ることは？,IT予算はどのように決まっていますか？,予算の使い方に制約はありますか？,予算超過しそうな時はどうしますか？,クラウド（AWS/Azure/GCP等）を使っていますか？,クラウドコストの管理は？,予算・コスト管理で困ることは？,予算・コスト管理で、どんな支援があれば役立ちますか？,ベンダー・SaaSを新規契約する時、どのように決めていますか？,ベンダー選定時に誰が関与しますか？,技術選定やシステム導入で相談する相手は？,ベンダー選定・管理で困っていることは？,どんな支援があれば役立ちますか？,他部門との調整で困ることは？,他地域との調整で困ることは？,どんな基準や支援があれば、もっと迅速に判断・活動できますか？,その他ITガバナンスに関して、ご意見・提言・アイデア等
R079,工場系IT,北米,回答者649,業務アプリケーション、その他,インフラ全般,266,チーム内で必要性を議論,既存システムとの連携(1)、チーム内に使える人がいるか(2)、他部門での導入実績(3),必ず相談する,機密情報の定義が難しく、導入して良いか判断に迷う,企画段階でセキュリティ要件（守るべきデータ等）を定義している、ネットワーク構成図を作成し、境界防御（FW等）を確認している、最小権限の原則（必要な人にのみ権限付与）に基づき設計している,SSO（シングルサインオン）連携,役割ベース（RBAC）,ブラウザの保存機能,通信経路の暗号化（SSL/TLS等）、保存データの暗号化,中央IT/セキュリティ部門によるアーキテクチャ審査、ソースコードの静的解析を実施,多層防御などの高度な設計スキルが不足している,データの機密度で判断、提供記録（いつ・誰に）を残す、依頼者が社内なら基本的に提供,していない / 分類方法がわからない,定期的なエラーチェック（重複・欠損値の確認）、品質測定指標（SLA）を設定している,自動バックアップ,データのオーナー（責任者）が誰か不明確、他部門と同じデータなのに定義や形式が違う,変更計画書を作成、ロールバック（切り戻し）手順を準備、テスト環境で事前検証,その場で対応方法を考える、過去の失敗事例を参考にする,ベンダーに連絡、中央ITに連絡,わからない,必ずする,承認プロセスが遅い、緊急時の手続きが不明確,部門全体の予算から配分,よくわからない,次年度に延期、他の項目を削って調整、上司に相談して追加予算を申請,使っている,予算アラート設定、四半期ごとに確認、コスト最適化施策を実施（リザーブドインスタンス等）,他部門と重複投資している気がする、予算申請の手続きが不明確,予算申請テンプレート・ガイドライン、コスト最適化のベストプラクティス共有、IT投資の費用対効果評価の支援,無料トライアルで評価、他部門の導入実績を参考、中央ITに相談,法務、自分（現場担当者）,ベンダー・SaaS提供元(1)、中央IT(2)、他部門の経験者(3),複数社を比較する時間がない、契約条件が妥当か判断できない,他部門の導入事例共有,特に困っていない,優先順位が合わず、対応してもらえない、言語の壁、技術仕様や標準が異なり、話が噛み合わない,その他,
R080,ビジネス系IT,日本,回答者616,IT組織、IT共通,受注プロセス,9543,調達部門に依頼,コスト(1)、他部門での導入実績(2)、チーム内に使える人がいるか(3),ほぼ相談しない,予算取りの手続きが不明確、技術的な評価ができる人材がいない、比較検討する時間がない、機密情報の定義が難しく、導入して良いか判断に迷う,開発/テスト環境と本番環境を分離している,SSO（シングルサインオン）連携、MFA（二段階認証）,個別に都度付与、役割ベース（RBAC）,中央ID基盤（Microsoft Entra ID/Okta等）、Excelやメモで管理、1Password等の管理ツール,個人情報・機密情報のマスキング（非表示化）処理、操作ログの改ざん防止・長期保存、保存データの暗号化、通信経路の暗号化（SSL/TLS等）,特になし,自部署の構成が全社のセキュリティ標準に合っているか判断できない,提供記録（いつ・誰に）を残す、データの機密度で判断、個人情報が含まれるかチェック,していない / 分類方法がわからない,問題が起きたら都度対応,自動バックアップ,データの保存期間（いつ捨てていいか）がわからない,チーム内でレビュー、その他,ロールバック手順がある、その場で対応方法を考える,チーム内で対応、中央ITに連絡、上司に報告、ベンダーに連絡,定義がない,方法がわからない,緊急時の手続きが不明確、過去のトラブル情報が共有されていない,プロジェクトの積み上げ,上司の承認が必要,次年度に延期、他の項目を削って調整、諦める / サービスを停止する、上司に相談して追加予算を申請,使っている,毎月モニタリング、請求書が来てから確認、予算アラート設定,その他,コスト最適化のベストプラクティス共有、予算申請テンプレート・ガイドライン,"複数社を比較検討、無料トライアルで評価、セキュリティ評価（ISMS, SOC2等）を実施、調達部門に依頼",上司・部門長、中央IT、自分（現場担当者）、ベンダー・SaaS提供元,上司・部門長(1)、他部門の経験者(2)、外部コンサルタント(3),契約条件が妥当か判断できない、ベンダーを変更したいが難しい、技術的な評価ができない,推奨ベンダーリスト,優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,意思決定プロセス（誰の許可が必要か）が不透明、誰に連絡すればいいかわからない（窓口不明）,技術標準やベストプラクティスの共有、「全社推奨ツール・ベンダー」のリスト,
R081,本社系IT,日本,回答者151,ビジネスプロセス、その他,受注プロセス,371,その他,その他(1)、既存システムとの連携(2)、セキュリティ(3),ほぼ相談しない,予算取りの手続きが不明確、技術的な評価ができる人材がいない、比較検討する時間がない,ネットワーク構成図を作成し、境界防御（FW等）を確認している、開発/テスト環境と本番環境を分離している,MFA（二段階認証）、単一パスワード、SSO（シングルサインオン）連携,役割ベース（RBAC）,ブラウザの保存機能、中央ID基盤（Microsoft Entra ID/Okta等）、1Password等の管理ツール、Excelやメモで管理,個人情報・機密情報のマスキング（非表示化）処理、操作ログの改ざん防止・長期保存、通信経路の暗号化（SSL/TLS等）,ソースコードの静的解析を実施,セキュリティ要件の具体的な書き方がわからない,個人情報が含まれるかチェック,分類したいが、基準が不明確（難解）で迷うことがある,定期的なエラーチェック（重複・欠損値の確認）、品質測定指標（SLA）を設定している,手動バックアップ,他部門と同じデータなのに定義や形式が違う,テスト環境で事前検証、変更計画書を作成、変更記録を残す,過去の失敗事例を参考にする、その場で対応方法を考える,上司に報告、トラブル記録を残す、ベンダーに連絡,定義がない,していない,承認プロセスが遅い、過去のトラブル情報が共有されていない、緊急時の手続きが不明確,部門全体の予算から配分,よくわからない,他の項目を削って調整、諦める / サービスを停止する,使っていない,予算アラート設定,予算申請の手続きが不明確,コスト最適化のベストプラクティス共有,中央ITに相談,法務、自分（現場担当者）、中央IT、ベンダー・SaaS提供元,ベンダー・SaaS提供元(1)、チーム内で議論(2)、外部コンサルタント(3),契約条件が妥当か判断できない、セキュリティ評価の方法がわからない,ベンダー比較評価のサポート、価格妥当性の評価,優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない,時差による調整の困難、意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない,「全社推奨ツール・ベンダー」のリスト、技術標準やベストプラクティスの共有、困った時の「技術相談窓口」の明確化,特になし
R082,インフラ,日本,回答者152,業務アプリケーション、その他,インフラ全般,8256,無料トライアルで試用、複数の候補を比較検討、チーム内で必要性を議論、上司に報告・承認を得る,ベンダーサポート(1)、既存システムとの連携(2)、コスト(3),必ず相談する,その他、機密情報の定義が難しく、導入して良いか判断に迷う,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、開発/テスト環境と本番環境を分離している、外部公開する窓口（APIやWeb公開）を最小限に絞っている,MFA（二段階認証）、単一パスワード,共通アカウントを複数人で利用、個別に都度付与、役割ベース（RBAC）,Excelやメモで管理、ブラウザの保存機能、1Password等の管理ツール、中央ID基盤（Microsoft Entra ID/Okta等）,個人情報・機密情報のマスキング（非表示化）処理、操作ログの改ざん防止・長期保存,ソースコードの静的解析を実施、外部ベンダーによるペネトレーションテスト、中央IT/セキュリティ部門によるアーキテクチャ審査,自部署の構成が全社のセキュリティ標準に合っているか判断できない、多層防御などの高度な設計スキルが不足している,依頼者が社内なら基本的に提供、依頼内容を確認、提供記録（いつ・誰に）を残す,規程通りに分類している,品質測定指標（SLA）を設定している,していない,他部門と同じデータなのに定義や形式が違う,承認を得る、変更記録を残す、変更計画書を作成,その場で対応方法を考える,チーム内で対応,わからない,重大なもののみ,過去のトラブル情報が共有されていない、緊急時の手続きが不明確,上位組織から割り当て、前年度実績ベース,上司の承認が必要,他の項目を削って調整、諦める / サービスを停止する,使っていない,特に見ていない,予算申請の手続きが不明確、予算執行の柔軟性がない、他部門と重複投資している気がする、クラウドコストが予測できない,他部門の予算事例・ベンチマーク情報、クラウドコスト見積もりツール、予算計画策定の相談窓口、コスト最適化のベストプラクティス共有,"調達部門に依頼、既存ベンダーから選定、中央ITに相談、セキュリティ評価（ISMS, SOC2等）を実施",中央IT、ベンダー・SaaS提供元、法務、上司・部門長,チーム内で議論(1)、他部門の経験者(2)、その他(3),セキュリティ評価の方法がわからない,推奨ベンダーリスト、他部門の導入事例共有、契約条件のレビュー,意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない、技術仕様や標準が異なり、話が噛み合わない,優先順位が合わず、対応してもらえない、時差による調整の困難、意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない,投資額ごとの「スピード承認」枠組み、技術標準やベストプラクティスの共有、他部門・他地域との調整を支援する仲介役、セキュリティリスクの「セルフチェックリスト」,
R083,本社系IT,北米,回答者609,基盤・インフラ,セキュリティ,5528,その他,他部門での導入実績(1)、セキュリティ(2)、使いやすさ(3),必ず相談する,機密情報の定義が難しく、導入して良いか判断に迷う、比較検討する時間がない、技術的な評価ができる人材がいない、承認に時間がかかりすぎる,開発/テスト環境と本番環境を分離している,単一パスワード,共通アカウントを複数人で利用,ブラウザの保存機能,保存データの暗号化、操作ログの改ざん防止・長期保存、通信経路の暗号化（SSL/TLS等）、個人情報・機密情報のマスキング（非表示化）処理,中央IT/セキュリティ部門によるアーキテクチャ審査,自部署の構成が全社のセキュリティ標準に合っているか判断できない,個人情報が含まれるかチェック、データの機密度で判断,規程通りに分類している,定期的なエラーチェック（重複・欠損値の確認）,手動バックアップ,他部門と同じデータなのに定義や形式が違う,テスト環境で事前検証、ロールバック（切り戻し）手順を準備,ロールバック手順がある、その場で対応方法を考える、過去の失敗事例を参考にする,ベンダーに連絡、上司に報告、中央ITに連絡、チーム内で対応,なんとなく判断している,していない,特に困っていない,前年度実績ベース、部門全体の予算から配分、プロジェクトの積み上げ、上位組織から割り当て,用途別に厳格に管理,上司に相談して追加予算を申請、他の項目を削って調整、諦める / サービスを停止する、次年度に延期,使っていない,請求書が来てから確認、四半期ごとに確認,クラウドコストが予測できない、予算執行の柔軟性がない、他部門と重複投資している気がする、予算申請の手続きが不明確,予算計画策定の相談窓口、クラウドコスト見積もりツール、IT投資の費用対効果評価の支援,"他部門の導入実績を参考、複数社を比較検討、セキュリティ評価（ISMS, SOC2等）を実施",法務、上司・部門長、調達部門、自分（現場担当者）,外部コンサルタント(1)、中央IT(2)、他部門の経験者(3),その他,価格妥当性の評価,意思決定プロセス（誰の許可が必要か）が不透明,意思決定プロセス（誰の許可が必要か）が不透明、優先順位が合わず、対応してもらえない、言語の壁、技術仕様や標準が異なり、話が噛み合わない,技術標準やベストプラクティスの共有、困った時の「技術相談窓口」の明確化,
R084,工場系IT,日本,回答者64,基盤・インフラ、ビジネスプロセス、IT組織,販売管理システム,7334,複数の候補を比較検討,既存システムとの連携(1)、コスト(2)、その他(3),相談先がわからない,比較検討する時間がない、技術的な評価ができる人材がいない,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、開発/テスト環境と本番環境を分離している,単一パスワード、SSO（シングルサインオン）連携,共通アカウントを複数人で利用、役割ベース（RBAC）,1Password等の管理ツール,保存データの暗号化、通信経路の暗号化（SSL/TLS等）,中央IT/セキュリティ部門によるアーキテクチャ審査,開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している、自部署の構成が全社のセキュリティ標準に合っているか判断できない,提供記録（いつ・誰に）を残す、上司に確認,していない / 分類方法がわからない,定期的なエラーチェック（重複・欠損値の確認）、問題が起きたら都度対応、品質測定指標（SLA）を設定している,クラウド/システム任せ（詳細は不明）,他部門と同じデータなのに定義や形式が違う、データのオーナー（責任者）が誰か不明確,チーム内でレビュー、ロールバック（切り戻し）手順を準備、テスト環境で事前検証,過去の失敗事例を参考にする、その場で対応方法を考える、ロールバック手順がある,チーム内で対応、ベンダーに連絡、トラブル記録を残す,定義がない,重大なもののみ,過去のトラブル情報が共有されていない,部門全体の予算から配分、プロジェクトの積み上げ,よくわからない,諦める / サービスを停止する,使っていない,請求書が来てから確認,他部門と重複投資している気がする、クラウドコストが予測できない,コスト最適化のベストプラクティス共有、予算申請テンプレート・ガイドライン、クラウドコスト見積もりツール,既存ベンダーから選定,法務,ベンダー・SaaS提供元(1)、上司・部門長(2)、中央IT(3),複数社を比較する時間がない,価格妥当性の評価、契約条件のレビュー,技術仕様や標準が異なり、話が噛み合わない、意思決定プロセス（誰の許可が必要か）が不透明,誰に連絡すればいいかわからない（窓口不明）,技術標準やベストプラクティスの共有、投資額ごとの「スピード承認」枠組み、困った時の「技術相談窓口」の明確化、他部門・他地域との調整を支援する仲介役,
R085,工場系IT,日本,回答者441,IT共通、IT組織、業務アプリケーション,販売管理システム,7275,無料トライアルで試用、複数の候補を比較検討、調達部門に依頼,ベンダーサポート(1)、コスト(2)、使いやすさ(3),ほぼ相談しない,機密情報の定義が難しく、導入して良いか判断に迷う,企画段階でセキュリティ要件（守るべきデータ等）を定義している,単一パスワード,個別に都度付与,Excelやメモで管理,操作ログの改ざん防止・長期保存、保存データの暗号化,脆弱性診断（スキャン）を自部署で実施、中央IT/セキュリティ部門によるアーキテクチャ審査、外部ベンダーによるペネトレーションテスト、ソースコードの静的解析を実施,自部署の構成が全社のセキュリティ標準に合っているか判断できない、多層防御などの高度な設計スキルが不足している、開発スピード優先で、セキュリティ設計の時間が取れない,依頼者が社内なら基本的に提供、上司に確認,規程通りに分類している,問題が起きたら都度対応、定期的なエラーチェック（重複・欠損値の確認）,していない,データのオーナー（責任者）が誰か不明確、他部門と同じデータなのに定義や形式が違う,ロールバック（切り戻し）手順を準備、変更記録を残す、テスト環境で事前検証、変更計画書を作成,過去の失敗事例を参考にする,上司に報告、チーム内で対応,わからない,方法がわからない,緊急時の手続きが不明確,前年度実績ベース、その他,よくわからない,次年度に延期,使っていない,毎月モニタリング、コスト最適化施策を実施（リザーブドインスタンス等）、四半期ごとに確認,コスト配分の基準がわからない,その他,無料トライアルで評価、調達部門に依頼、他部門の導入実績を参考、複数社を比較検討,法務,その他(1)、中央IT(2)、チーム内で議論(3),セキュリティ評価の方法がわからない、特に困っていない,ベンダー比較評価のサポート、契約条件のレビュー,優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない,その他、意思決定プロセス（誰の許可が必要か）が不透明,セキュリティリスクの「セルフチェックリスト」、困った時の「技術相談窓口」の明確化、他部門・他地域との調整を支援する仲介役,
R086,組織運営,日本,回答者930,基盤・インフラ,インフラ全般,1501,無料トライアルで試用、中央ITに相談,ベンダーサポート(1)、コスト(2)、セキュリティ(3),ほぼ相談しない,比較検討する時間がない、承認者が不明確（誰に判をもらえばいいか不明）、予算取りの手続きが不明確,最小権限の原則（必要な人にのみ権限付与）に基づき設計している、ネットワーク構成図を作成し、境界防御（FW等）を確認している、開発/テスト環境と本番環境を分離している,単一パスワード、MFA（二段階認証）,個別に都度付与、役割ベース（RBAC）,Excelやメモで管理,個人情報・機密情報のマスキング（非表示化）処理,中央IT/セキュリティ部門によるアーキテクチャ審査、ソースコードの静的解析を実施、脆弱性診断（スキャン）を自部署で実施,自部署の構成が全社のセキュリティ標準に合っているか判断できない,個人情報が含まれるかチェック,独自の基準で分類している,問題が起きたら都度対応,していない,データのオーナー（責任者）が誰か不明確、他部門と同じデータなのに定義や形式が違う,チーム内でレビュー、承認を得る,事前に計画していない,トラブル記録を残す,わからない,必ずする,緊急時の手続きが不明確,前年度実績ベース,用途別に厳格に管理,次年度に延期、諦める / サービスを停止する、他の項目を削って調整,使っている,四半期ごとに確認、毎月モニタリング、コスト最適化施策を実施（リザーブドインスタンス等）,他部門と重複投資している気がする、予算申請の手続きが不明確、予算執行の柔軟性がない,他部門の予算事例・ベンチマーク情報、予算申請テンプレート・ガイドライン、クラウドコスト見積もりツール,無料トライアルで評価、中央ITに相談、複数社を比較検討,調達部門、法務,外部コンサルタント(1)、その他(2)、他部門の経験者(3),技術的な評価ができない、ベンダーを変更したいが難しい、複数社を比較する時間がない,セキュリティ評価の支援、ベンダー比較評価のサポート,特に困っていない,言語の壁、技術仕様や標準が異なり、話が噛み合わない、意思決定プロセス（誰の許可が必要か）が不透明、時差による調整の困難,「全社推奨ツール・ベンダー」のリスト、技術標準やベストプラクティスの共有、セキュリティリスクの「セルフチェックリスト」、他部門・他地域との調整を支援する仲介役,セキュリティ基準をもっとわかりやすくしてほしい
R087,工場系IT,北米,回答者237,基盤・インフラ、ビジネスプロセス,受注プロセス,7391,無料トライアルで試用、チーム内で必要性を議論、調達部門に依頼、上司に報告・承認を得る,使いやすさ(1)、チーム内に使える人がいるか(2)、既存システムとの連携(3),時々相談する,承認に時間がかかりすぎる、比較検討する時間がない,外部公開する窓口（APIやWeb公開）を最小限に絞っている、ネットワーク構成図を作成し、境界防御（FW等）を確認している,SSO（シングルサインオン）連携、単一パスワード,個別に都度付与、共通アカウントを複数人で利用,中央ID基盤（Microsoft Entra ID/Okta等）、Excelやメモで管理、1Password等の管理ツール、ブラウザの保存機能,通信経路の暗号化（SSL/TLS等）、個人情報・機密情報のマスキング（非表示化）処理,外部ベンダーによるペネトレーションテスト,開発スピード優先で、セキュリティ設計の時間が取れない、多層防御などの高度な設計スキルが不足している、自部署の構成が全社のセキュリティ標準に合っているか判断できない,データの機密度で判断,していない / 分類方法がわからない,定期的なエラーチェック（重複・欠損値の確認）,していない,データのオーナー（責任者）が誰か不明確、他部門と同じデータなのに定義や形式が違う,ロールバック（切り戻し）手順を準備、承認を得る,過去の失敗事例を参考にする、ロールバック手順がある,その他,明確な定義がある,していない,特に困っていない、ロールバック方法がわからない,プロジェクトの積み上げ、部門全体の予算から配分、前年度実績ベース、上位組織から割り当て,総額内なら自由,次年度に延期,使っていない,四半期ごとに確認、請求書が来てから確認、毎月モニタリング、予算アラート設定,クラウドコストが予測できない、他部門と重複投資している気がする、予算申請の手続きが不明確,IT投資の費用対効果評価の支援、クラウドコスト見積もりツール、他部門の予算事例・ベンチマーク情報、予算申請テンプレート・ガイドライン,"セキュリティ評価（ISMS, SOC2等）を実施",自分（現場担当者）、調達部門、法務,上司・部門長(1)、チーム内で議論(2)、中央IT(3),技術的な評価ができない、複数社を比較する時間がない、ベンダーを変更したいが難しい、契約条件が妥当か判断できない,価格妥当性の評価,技術仕様や標準が異なり、話が噛み合わない,技術仕様や標準が異なり、話が噛み合わない、言語の壁,投資額ごとの「スピード承認」枠組み,
R088,セキュリティ,北米,回答者209,IT組織、IT共通,セキュリティ,8634,無料トライアルで試用、チーム内で必要性を議論、中央ITに相談、複数の候補を比較検討,ベンダーサポート(1)、他部門での導入実績(2)、チーム内に使える人がいるか(3),相談先がわからない,承認者が不明確（誰に判をもらえばいいか不明）、予算取りの手続きが不明確,特に明文化された設計プロセスはない,SSO（シングルサインオン）連携,共通アカウントを複数人で利用、役割ベース（RBAC）,1Password等の管理ツール、ブラウザの保存機能、中央ID基盤（Microsoft Entra ID/Okta等）,通信経路の暗号化（SSL/TLS等）、システム任せ / 特に対策は把握していない,脆弱性診断（スキャン）を自部署で実施,多層防御などの高度な設計スキルが不足している、自部署の構成が全社のセキュリティ標準に合っているか判断できない、開発スピード優先で、セキュリティ設計の時間が取れない,データの機密度で判断、個人情報が含まれるかチェック,していない / 分類方法がわからない,定期的なエラーチェック（重複・欠損値の確認）、問題が起きたら都度対応,していない,他部門と同じデータなのに定義や形式が違う,テスト環境で事前検証,過去の失敗事例を参考にする,チーム内で対応、ベンダーに連絡、トラブル記録を残す、上司に報告,なんとなく判断している,重大なもののみ,承認プロセスが遅い、緊急時の手続きが不明確,その他、上位組織から割り当て,用途別に厳格に管理,次年度に延期、諦める / サービスを停止する、他の項目を削って調整、上司に相談して追加予算を申請,使っている,予算アラート設定、コスト最適化施策を実施（リザーブドインスタンス等）、四半期ごとに確認,クラウドコストが予測できない、予算執行の柔軟性がない、予算申請の手続きが不明確、他部門と重複投資している気がする,コスト最適化のベストプラクティス共有、予算計画策定の相談窓口、クラウドコスト見積もりツール,"セキュリティ評価（ISMS, SOC2等）を実施、他部門の導入実績を参考、中央ITに相談、調達部門に依頼",調達部門,中央IT(1)、他部門の経験者(2)、上司・部門長(3),ベンダーを変更したいが難しい,セキュリティ評価の支援、価格妥当性の評価、他部門の導入事例共有,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない,意思決定プロセス（誰の許可が必要か）が不透明、技術仕様や標準が異なり、話が噛み合わない,セキュリティリスクの「セルフチェックリスト」、他部門・他地域との調整を支援する仲介役、技術標準やベストプラクティスの共有、「全社推奨ツール・ベンダー」のリスト,承認プロセスを簡素化してほしい
R089,組織運営,EMEA,回答者626,業務アプリケーション、IT組織,販売管理システム,445,その他,既存システムとの連携(1)、ベンダーサポート(2)、セキュリティ(3),必ず相談する,技術的な評価ができる人材がいない,ネットワーク構成図を作成し、境界防御（FW等）を確認している、開発/テスト環境と本番環境を分離している,MFA（二段階認証）,個別に都度付与、共通アカウントを複数人で利用,1Password等の管理ツール、中央ID基盤（Microsoft Entra ID/Okta等）,システム任せ / 特に対策は把握していない,脆弱性診断（スキャン）を自部署で実施、外部ベンダーによるペネトレーションテスト、ソースコードの静的解析を実施、中央IT/セキュリティ部門によるアーキテクチャ審査,開発スピード優先で、セキュリティ設計の時間が取れない、自部署の構成が全社のセキュリティ標準に合っているか判断できない、多層防御などの高度な設計スキルが不足している,データの機密度で判断,していない / 分類方法がわからない,問題が起きたら都度対応,していない,他部門と同じデータなのに定義や形式が違う,チーム内でレビュー、ロールバック（切り戻し）手順を準備、変更計画書を作成、変更記録を残す,ロールバック手順がある、その場で対応方法を考える,トラブル記録を残す、上司に報告、中央ITに連絡、チーム内で対応,わからない,方法がわからない,過去のトラブル情報が共有されていない,部門全体の予算から配分、上位組織から割り当て,上司の承認が必要,次年度に延期、他の項目を削って調整、諦める / サービスを停止する、上司に相談して追加予算を申請,使っていない,予算アラート設定、請求書が来てから確認、コスト最適化施策を実施（リザーブドインスタンス等）、毎月モニタリング,予算執行の柔軟性がない,IT投資の費用対効果評価の支援、予算計画策定の相談窓口、予算申請テンプレート・ガイドライン、コスト最適化のベストプラクティス共有,"セキュリティ評価（ISMS, SOC2等）を実施、調達部門に依頼",その他,上司・部門長(1)、ベンダー・SaaS提供元(2)、他部門の経験者(3),ベンダーを変更したいが難しい、契約条件が妥当か判断できない,ベンダー比較評価のサポート,優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,技術仕様や標準が異なり、話が噛み合わない、意思決定プロセス（誰の許可が必要か）が不透明,投資額ごとの「スピード承認」枠組み、「全社推奨ツール・ベンダー」のリスト、セキュリティリスクの「セルフチェックリスト」、他部門・他地域との調整を支援する仲介役,
R090,本社系IT,北米,回答者983,業務アプリケーション、基盤・インフラ、IT共通,セキュリティ,8528,チーム内で必要性を議論,ベンダーサポート(1)、既存システムとの連携(2)、コスト(3),相談先がわからない,機密情報の定義が難しく、導入して良いか判断に迷う,ネットワーク構成図を作成し、境界防御（FW等）を確認している,単一パスワード,役割ベース（RBAC）、個別に都度付与,中央ID基盤（Microsoft Entra ID/Okta等）、1Password等の管理ツール、ブラウザの保存機能、Excelやメモで管理,操作ログの改ざん防止・長期保存、個人情報・機密情報のマスキング（非表示化）処理、通信経路の暗号化（SSL/TLS等）,ソースコードの静的解析を実施、脆弱性診断（スキャン）を自部署で実施、外部ベンダーによるペネトレーションテスト,開発スピード優先で、セキュリティ設計の時間が取れない,その他,していない / 分類方法がわからない,品質測定指標（SLA）を設定している,していない,データの保存期間（いつ捨てていいか）がわからない,チーム内でレビュー、承認を得る、テスト環境で事前検証、ロールバック（切り戻し）手順を準備,ロールバック手順がある,中央ITに連絡、上司に報告,明確な定義がある,重大なもののみ,緊急時の手続きが不明確、承認プロセスが遅い,前年度実績ベース、プロジェクトの積み上げ,用途別に厳格に管理,次年度に延期、諦める / サービスを停止する,使っている,その他,他部門と重複投資している気がする、予算執行の柔軟性がない、予算申請の手続きが不明確,予算申請テンプレート・ガイドライン,調達部門に依頼,調達部門、法務,チーム内で議論(1)、上司・部門長(2)、他部門の経験者(3),契約条件が妥当か判断できない、ベンダーを変更したいが難しい、技術的な評価ができない、複数社を比較する時間がない,推奨ベンダーリスト,その他,時差による調整の困難、技術仕様や標準が異なり、話が噛み合わない,セキュリティリスクの「セルフチェックリスト」,
R091,工場系IT,EMEA,回答者484,基盤・インフラ、IT組織,販売管理システム,4044,上司に報告・承認を得る、調達部門に依頼、無料トライアルで試用、複数の候補を比較検討,既存システムとの連携(1)、セキュリティ(2)、コスト(3),相談先がわからない,承認に時間がかかりすぎる,外部公開する窓口（APIやWeb公開）を最小限に絞っている、開発/テスト環境と本番環境を分離している、ネットワーク構成図を作成し、境界防御（FW等）を確認している、最小権限の原則（必要な人にのみ権限付与）に基づき設計している,MFA（二段階認証）、SSO（シングルサインオン）連携、単一パスワード,個別に都度付与、共通アカウントを複数人で利用,ブラウザの保存機能、中央ID基盤（Microsoft Entra ID/Okta等）,通信経路の暗号化（SSL/TLS等）,脆弱性診断（スキャン）を自部署で実施、中央IT/セキュリティ部門によるアーキテクチャ審査,多層防御などの高度な設計スキルが不足している,依頼者が社内なら基本的に提供,分類したいが、基準が不明確（難解）で迷うことがある,問題が起きたら都度対応、品質測定指標（SLA）を設定している,自動バックアップ,データのオーナー（責任者）が誰か不明確、他部門と同じデータなのに定義や形式が違う,その他、テスト環境で事前検証,過去の失敗事例を参考にする、ロールバック手順がある、その場で対応方法を考える,中央ITに連絡、トラブル記録を残す,定義がない,していない,緊急時の手続きが不明確,部門全体の予算から配分,総額内なら自由,他の項目を削って調整、次年度に延期、上司に相談して追加予算を申請,使っていない,特に見ていない、四半期ごとに確認,予算執行の柔軟性がない、クラウドコストが予測できない,その他,調達部門に依頼、既存ベンダーから選定,自分（現場担当者）、調達部門、上司・部門長、法務,他部門の経験者(1)、ベンダー・SaaS提供元(2)、上司・部門長(3),契約条件が妥当か判断できない,ベンダー比較評価のサポート、契約条件のレビュー、セキュリティ評価の支援,技術仕様や標準が異なり、話が噛み合わない、優先順位が合わず、対応してもらえない、意思決定プロセス（誰の許可が必要か）が不透明,優先順位が合わず、対応してもらえない,「全社推奨ツール・ベンダー」のリスト、他部門・他地域との調整を支援する仲介役,
